H(T.P.m),V(1000m3)
148,0
148.01,3
148.02,6
148.03,10
148.04,13
148.05,16
148.06,19
148.07,22
148.08,25
148.09,29
148.1,32
148.11,35
148.12,38
148.13,41
148.14,44
148.15,48
148.16,51
148.17,54
148.18,57
148.19,60
148.2,63
148.21,67
148.22,70
148.23,73
148.24,76
148.25,79
148.26,82
148.27,86
148.28,89
148.29,92
148.3,95
148.31,98
148.32,102
148.33,105
148.34,108
148.35,111
148.36,114
148.37,117
148.38,121
148.39,124
148.4,127
148.41,130
148.42,133
148.43,136
148.44,140
148.45,143
148.46,146
148.47,149
148.48,152
148.49,155
148.5,159
148.51,162
148.52,165
148.53,168
148.54,172
148.55,175
148.56,178
148.57,181
148.58,185
148.59,188
148.6,191
148.61,194
148.62,198
148.63,201
148.64,204
148.65,208
148.66,211
148.67,214
148.68,217
148.69,221
148.7,224
148.71,227
148.72,230
148.73,234
148.74,237
148.75,240
148.76,243
148.77,247
148.78,250
148.79,253
148.8,256
148.81,260
148.82,263
148.83,266
148.84,270
148.85,273
148.86,276
148.87,279
148.88,283
148.89,286
148.9,289
148.91,292
148.92,296
148.93,299
148.94,302
148.95,305
148.96,309
148.97,312
148.98,315
148.99,313
149,322
149.01,325
149.02,323
149.03,332
149.04,335
149.05,338
149.06,342
149.07,345
149.08,349
149.09,352
149.1,355
149.11,359
149.12,362
149.13,365
149.14,369
149.15,372
149.16,375
149.17,379
149.18,382
149.19,385
149.2,389
149.21,392
149.22,395
149.23,399
149.24,402
149.25,406
149.26,409
149.27,412
149.28,416
149.29,419
149.3,422
149.31,426
149.32,429
149.33,432
149.34,436
149.35,439
149.36,442
149.37,446
149.38,449
149.39,453
149.4,456
149.41,459
149.42,463
149.43,466
149.44,469
149.45,473
149.46,476
149.47,479
149.48,483
149.49,486
149.5,489
149.51,493
149.52,496
149.53,500
149.54,503
149.55,507
149.56,510
149.57,514
149.58,517
149.59,520
149.6,524
149.61,527
149.62,531
149.63,534
149.64,538
149.65,541
149.66,545
149.67,548
149.68,551
149.69,555
149.7,558
149.71,562
149.72,565
149.73,569
149.74,572
149.75,576
149.76,579
149.77,582
149.78,586
149.79,589
149.8,593
149.81,596
149.82,600
149.83,603
149.84,607
149.85,610
149.86,614
149.87,617
149.88,620
149.89,624
149.9,627
149.91,631
149.92,634
149.93,638
149.94,641
149.95,645
149.96,648
149.97,651
