,コンジットゲート開度(m),,,,,,,,,,,,,,
,0,0.25,0.5,0.75,1,1.25,1.5,1.75,2,2.25,2.5,2.75,3,3.25,3.4
157.9,0,13.63,27.03,40,52.42,64.24,75.56,86.62,97.88,110,123.92,140.84,162.31,190.21,214.65
160,0,14.28,28.33,41.93,54.94,67.33,79.19,90.78,102.58,115.29,129.87,147.61,170.11,199.35,224.97
160.5,0,14.44,28.63,42.37,55.52,68.04,80.03,91.75,103.67,116.51,131.25,149.18,171.91,201.47,227.35
161,0,14.59,28.93,42.81,56.1,68.75,80.86,92.7,104.75,117.72,132.62,150.73,173.7,203.56,229.72
161.5,0,14.73,29.22,43.25,56.67,69.45,81.68,93.64,105.81,118.92,133.96,152.26,175.47,205.63,232.05
162,0,14.88,29.51,43.68,57.23,70.14,82.5,94.58,106.87,120.11,135.3,153.78,177.22,207.68,234.37
162.5,0,15.03,29.8,44.11,57.79,70.83,83.3,95.5,107.92,121.28,136.62,155.28,178.95,209.71,236.66
163,0,15.17,30.09,44.53,58.35,71.51,84.1,96.42,108.95,122.45,137.93,156.77,180.67,211.73,238.93
163.5,0,15.31,30.37,44.95,58.9,72.18,84.89,97.33,109.98,123.6,139.23,158.25,182.37,213.72,241.18
164,0,15.46,30.65,45.36,59.44,72.84,85.68,98.22,110.99,124.74,140.52,159.71,184.05,215.69,243.41
164.5,0,15.6,30.93,45.77,59.98,73.51,86.45,99.12,112,125.87,141.79,161.16,185.72,217.65,245.61
165,0,15.73,31.2,46.18,60.52,74.16,87.22,100,113,126.99,143.06,162.59,187.38,219.59,247.8
165.5,0,15.87,31.48,46.59,61.04,74.81,87.99,100.87,113.99,128.1,144.31,164.02,189.02,221.51,249.97
166,0,16.01,31.75,46.99,61.57,75.45,88.74,101.74,114.97,129.21,145.55,165.43,190.64,223.41,252.12
166.2,0,16.06,31.86,47.15,61.78,75.71,89.05,102.09,115.36,129.64,146.04,165.99,191.29,224.17,252.98
166.5,0,16.14,32.02,47.38,62.09,76.09,89.49,102.6,115.94,130.3,146.78,166.83,192.25,225.3,254.25
167,0,16.28,32.28,47.78,62.61,76.72,90.24,103.45,116.9,131.38,148,168.21,193.85,227.18,256.37
167.5,0,16.41,32.55,48.17,63.12,77.35,90.98,104.3,117.86,132.46,149.21,169.59,195.44,229.04,258.46
167.9,0,16.52,32.76,48.48,63.53,77.85,91.56,104.97,118.62,133.31,150.17,170.68,196.7,230.51,260.13
168,0,16.54,32.81,48.56,63.63,77.97,91.71,105.14,118.81,133.52,150.41,170.95,197.01,230.88,260.54
168.5,0,16.67,33.07,48.94,64.13,78.59,92.44,105.97,119.75,134.58,151.6,172.31,198.57,232.71,262.61
169,0,16.8,33.33,49.32,64.63,79.2,93.16,106.8,120.68,135.63,152.79,173.65,200.12,234.52,264.66
169.4,0,16.91,33.53,49.63,65.03,79.69,93.73,107.46,121.42,136.46,153.73,174.72,201.35,235.96,266.28
169.5,0,16.93,33.58,49.7,65.13,79.81,93.87,107.62,121.61,136.67,153.96,174.98,201.66,236.32,266.69
170,0,17.06,33.84,50.08,65.62,80.42,94.58,108.43,122.53,137.7,155.12,176.31,203.18,238.11,268.7
170.2,0,17.11,33.94,50.23,65.82,80.66,94.86,108.76,122.89,138.12,155.59,176.83,203.79,238.82,269.51
170.5,0,17.19,34.09,50.45,66.11,81.01,95.29,109.24,123.44,138.73,156.28,177.62,204.69,239.88,270.71
171,0,17.32,34.34,50.82,66.59,81.61,95.99,110.04,124.35,139.75,157.43,178.92,206.2,241.64,272.69
171.5,0,17.44,34.59,51.19,67.08,82.2,96.68,110.84,125.25,140.76,158.56,180.22,207.69,243.39,274.66
172,0,17.56,34.83,51.55,67.55,82.79,97.37,111.63,126.14,141.76,159.7,181.5,209.17,245.13,276.62
172.5,0,17.69,35.08,51.92,68.03,83.37,98.05,112.41,127.03,142.76,160.82,182.78,210.64,246.85,278.57
173,0,17.81,35.32,52.28,68.5,83.95,98.73,113.19,127.91,143.75,161.93,184.05,212.1,248.56,280.5
