datetime,Qin,Qout,H,r
2014/11/24 14:30,2.06,2.07,165.96,0
2014/11/24 14:40,2.06,2.07,165.96,0
2014/11/24 14:50,2.06,2.07,165.96,0
2014/11/24 15:00,0.99,2.07,165.96,0
2014/11/24 15:10,0.99,2.06,165.96,0
2014/11/24 15:20,0.99,2.07,165.96,0
2014/11/24 15:30,0.99,2.06,165.96,0
2014/11/24 15:40,0.99,2.07,165.96,0
2014/11/24 15:50,0.99,2.07,165.96,0
2014/11/24 16:00,1.0,2.07,165.96,0
2014/11/24 16:10,1.0,2.06,165.96,0
2014/11/24 16:20,1.0,2.06,165.96,0
2014/11/24 16:30,1.0,2.06,165.96,0
2014/11/24 16:40,1.0,2.07,165.96,0
2014/11/24 16:50,1.0,2.06,165.96,0
2014/11/24 17:00,2.07,2.07,165.96,0
2014/11/24 17:10,2.07,2.07,165.95,0
2014/11/24 17:20,2.07,2.07,165.95,0
2014/11/24 17:30,2.07,2.06,165.95,0
2014/11/24 17:40,2.07,2.06,165.95,0
2014/11/24 17:50,2.07,2.06,165.95,0
2014/11/24 18:00,1.0,2.07,165.95,0
2014/11/24 18:10,1.0,2.06,165.95,0
2014/11/24 18:20,1.0,2.07,165.95,0
2014/11/24 18:30,1.0,2.07,165.95,0
2014/11/24 18:40,1.0,2.06,165.95,0
2014/11/24 18:50,1.0,2.06,165.95,0
2014/11/24 19:00,1.0,2.07,165.95,0
2014/11/24 19:10,1.0,2.07,165.95,0
2014/11/24 19:20,1.0,2.07,165.95,0
2014/11/24 19:30,1.0,2.06,165.95,0
2014/11/24 19:40,1.0,2.07,165.94,0
2014/11/24 19:50,1.0,2.07,165.94,0
2014/11/24 20:00,1.0,2.07,165.94,0
2014/11/24 20:10,1.0,2.06,165.94,0
2014/11/24 20:20,1.0,2.06,165.94,0
2014/11/24 20:30,1.0,2.06,165.94,0
2014/11/24 20:40,1.0,2.07,165.94,0
2014/11/24 20:50,1.0,2.07,165.94,0
2014/11/24 21:00,1.0,2.06,165.94,0
2014/11/24 21:10,1.0,2.07,165.94,0
2014/11/24 21:20,1.0,2.06,165.94,0
2014/11/24 21:30,1.0,2.07,165.94,0
2014/11/24 21:40,1.0,2.05,165.94,0
2014/11/24 21:50,1.0,2.06,165.93,0
2014/11/24 22:00,1.0,2.06,165.93,0
2014/11/24 22:10,1.0,2.06,165.93,0
2014/11/24 22:20,1.0,2.06,165.93,0
2014/11/24 22:30,1.0,2.07,165.93,0
2014/11/24 22:40,1.0,2.06,165.93,0
2014/11/24 22:50,1.0,2.08,165.93,0
2014/11/24 23:00,0.99,2.05,165.93,0
2014/11/24 23:10,0.99,2.07,165.93,0
2014/11/24 23:20,0.99,2.08,165.93,0
2014/11/24 23:30,0.99,2.07,165.93,0
2014/11/24 23:40,0.99,2.07,165.93,1
2014/11/24 23:50,0.99,2.07,165.93,0
2014/11/25 0:00,2.07,2.06,165.93,0
2014/11/25 0:10,2.07,2.06,165.93,1
2014/11/25 0:20,2.07,2.07,165.93,1
2014/11/25 0:30,2.07,2.06,165.93,0
2014/11/25 0:40,2.07,2.07,165.93,2
2014/11/25 0:50,2.07,2.07,165.93,2
2014/11/25 1:00,2.07,2.06,165.93,1
2014/11/25 1:10,2.07,2.05,165.93,1
2014/11/25 1:20,2.07,2.07,165.93,1
2014/11/25 1:30,2.07,2.07,165.93,1
2014/11/25 1:40,2.07,2.08,165.93,1
2014/11/25 1:50,2.07,2.06,165.93,0
2014/11/25 2:00,2.07,2.06,165.93,1
2014/11/25 2:10,2.07,2.06,165.93,0
2014/11/25 2:20,2.07,2.08,165.93,0
2014/11/25 2:30,2.07,2.07,165.93,0
2014/11/25 2:40,2.07,2.07,165.93,0
2014/11/25 2:50,2.07,2.07,165.93,0
2014/11/25 3:00,2.07,2.05,165.93,0
2014/11/25 3:10,2.07,2.07,165.93,0
2014/11/25 3:20,2.07,2.07,165.93,0
2014/11/25 3:30,2.07,2.07,165.93,0
2014/11/25 3:40,2.07,2.08,165.93,0
2014/11/25 3:50,2.07,2.07,165.93,0
2014/11/25 4:00,2.61,2.06,165.94,0
2014/11/25 4:10,2.61,2.06,165.94,0
2014/11/25 4:20,2.61,2.07,165.94,0
2014/11/25 4:30,2.61,2.05,165.94,0
2014/11/25 4:40,2.61,2.07,165.94,0
2014/11/25 4:50,2.61,2.06,165.94,0
2014/11/25 5:00,3.13,2.07,165.94,0
2014/11/25 5:10,3.13,2.05,165.94,0
